Songs & Artist,Streams,Daily
The Weeknd - Blinding Lights,4463658617,1619447
Ed Sheeran - Shape of You,4018102402,1001507
Lewis Capaldi - Someone You Loved,3588673578,1506961
Harry Styles - As It Was,3544187311,1611374
Post Malone - Sunflower,3518744128,1337404
The Weeknd - Starboy,3481137472,1897939
Drake - One Dance,3343221259,1329534
The Kid LAROI - STAY,3266446596,1336615
The Neighbourhood - Sweater Weather,3187169593,2976255
Imagine Dragons - Believer,3140449933,1261166
Tones And I - Dance Monkey,3139823510,602667
Glass Animals - Heat Waves,3133817525,1252964
Ed Sheeran - Perfect,3090494929,1172298
Post Malone - rockstar,3029805367,586641
James Arthur - Say You Won't Let Go,2986429659,1281824
Billie Eilish - lovely,2979291308,1408158
The Chainsmokers - Closer,2975681475,773228
Harry Styles - Watermelon Sugar,2834112398,802750
Shawn Mendes - Señorita,2821156041,800936
The Chainsmokers - Something Just Like This,2775000235,1864789
Dua Lipa - Don't Start Now,2720815605,811478
Vance Joy - Riptide,2710364376,1348353
Hozier - Take Me to Church,2691519096,1441603
Tom Odell - Another Love,2639301081,1815421
Juice WRLD - Lucid Dreams,2627821814,822038
Ed Sheeran - Photograph,2620855454,1268643
OneRepublic - Counting Stars,2615664483,1540665
Drake - God's Plan,2599734210,622248
Post Malone - Circles,2589603423,902848
Queen - Bohemian Rhapsody,2583294814,1007240
Billie Eilish - bad guy,2579347687,540500
Ed Sheeran - Thinking out Loud,2572363886,682007
Macklemore & Ryan Lewis - Can't Hold Us,2543782552,1491051
Unknown - Can't Hold Us,2542291501,1315630
Lady Gaga - Shallow,2541415751,925285
Travis Scott - goosebumps,2527338922,1110097
Justin Bieber - Love Yourself,2521226929,921093
Coldplay - Yellow,2513216173,2648103
Imagine Dragons - Thunder,2495240512,1001327
Taylor Swift - Cruel Summer,2481542457,2271270
John Legend - All of Me,2469158339,1087533
Arctic Monkeys - I Wanna Be Yours,2450537652,2696374
Avicii - Wake Me Up,2446945285,1193827
The Weeknd - Die For You,2424085403,1667707
Twenty One Pilots - Stressed Out,2413525220,1302314
The Weeknd - The Hills,2412077181,1071302
Imagine Dragons - Demons,2408786939,1176607
Lord Huron - The Night We Met,2382890548,2963250
J. Cole - No Role Modelz,2345083839,1123717
Passenger - Let Her Go,2341935739,859601
Kendrick Lamar - HUMBLE.,2339700191,956274
Ariana Grande - 7 rings,2339624083,685033
The Killers - Mr. Brightside,2315497074,1432620
Coldplay - Viva La Vida,2314642826,1543522
Eminem - Lose Yourself,2302745432,869854
Arctic Monkeys - Do I Wanna Know?,2302247285,1099083
Eminem - Without Me,2299256196,1122956
Olivia Rodrigo - drivers license,2275267328,831491
Bruno Mars - When I Was Your Man,2273842714,1848985
Calvin Harris - One Kiss,2273821616,871957
XXXTENTACION - SAD!,2266297232,428269
Shawn Mendes - Treat You Better,2262295005,935374
Bruno Mars - Just the Way You Are,2257540250,1588117
Olivia Rodrigo - good 4 u,2254400891,735709
XXXTENTACION - Jocelyn Flores,2246197322,518326
DJ Snake - Let Me Love You,2240782698,915594
Marshmello - Happier,2223776019,796439
French Montana - Unforgettable,2217603410,1531440
Travis Scott - SICKO MODE,2205803195,622901
Bruno Mars - That's What I Like,2205647795,1212740
Miley Cyrus - Flowers,2204593162,1392494
Lil Uzi Vert - XO Tour Llif3,2202482060,736848
The Police - Every Breath You Take,2202268304,1636096
Linkin Park - In the End,2195160703,1313536
Justin Bieber - Sorry,2181955090,844454
Bruno Mars - Locked out of Heaven,2178823231,1513249
Major Lazer - Lean On,2177167718,827826
Dua Lipa - New Rules,2171930321,537989
Dua Lipa - Levitating,2154284982,893251
Shawn Mendes - There's Nothing Holdin' Me Back,2151027126,1050787
Sam Smith - Too Good At Goodbyes,2141897815,816460
Elton John - Cold Heart,2135135555,1183983
Sam Smith - Stay With Me,2134416039,759905
Nirvana - Smells Like Teen Spirit,2132442267,1163308
Camila Cabello - Havana,2128683823,752058
The Weeknd - Save Your Tears,2106540115,999562
Oasis - Wonderwall,2103491418,1197562
Halsey - Without Me,2101570151,485311
Queen - Don't Stop Me Now,2089480531,1086532
Maroon 5 - Memories,2080313706,862760
Journey - Don't Stop Believin' (2022 Remaster),2078988587,1601701
SZA - Kill Bill,2078813747,1927479
Mark Ronson - Uptown Funk,2069479721,757538
a-ha - Take on Me,2067005311,1578453
Lil Nas X - INDUSTRY BABY,2063238174,513422
Bad Bunny - DÁKITI,2049953714,580752
Eminem - Till I Collapse,2043640154,644756
Post Malone - Congratulations,2042356787,450842
Adele - Someone Like You,2042111139,1323310
Coldplay - The Scientist,2025165211,1024512
Mike Posner - I Took A Pill In Ibiza,2021957664,557859
Alan Walker - Faded,2016322554,757750
Lewis Capaldi - Before You Go,2004756700,790289
Lukas Graham - 7 Years,2004016428,698891
Post Malone - Better Now,2000387845,379089
Roddy Ricch - The Box,1998554926,1784040
Guns N' Roses - Sweet Child O' Mine,1992799253,1155866
Shawn Mendes - Stitches,1988079214,779681
SAINt JHN - Roses,1974753514,560695
Queen - Another One Bites The Dust,1965915289,1009259
Sam Smith - I'm Not The Only One,1964641555,876003
Wiz Khalifa - See You Again,1963447110,655602
Charlie Puth - We Don't Talk Anymore,1960985032,853393
Lil Nas X - MONTERO (Call Me By Your Name),1955908899,522900
XXXTENTACION - Moonlight,1954733684,618515
The Chainsmokers - Don't Let Me Down,1954132444,666177
Jason Mraz - I'm Yours,1949947280,965650
Maroon 5 - Payphone,1940631965,1234525
24kGoldn - Mood,1934675271,583691
BTS - Dynamite,1929807019,575285
Billie Eilish - when the party's over,1927673522,768227
"Ariana Grande - thank u, next",1922891621,411008
Imagine Dragons - Radioactive,1922599679,741272
Jung Kook - Seven,1917641700,2570770
Doja Cat - Kiss Me More,1916069066,845262
Foster The People - Pumped Up Kicks,1913514682,1187417
Eminem - The Real Slim Shady,1910148039,846564
Manuel Turizo - La Bachata,1909400212,1590582
Taylor Swift - Blank Space,1909046390,674338
Adele - Rolling in the Deep,1907608328,1075616
Bad Bunny - Me Porto Bonito,1904477660,713517
Maroon 5 - Sugar,1904472012,716622
TOTO - Africa,1885681517,1254431
Avicii - The Nights,1884461462,948405
The Weeknd - Call Out My Name,1881580349,1038316
The Goo Goo Dolls - Iris,1879576385,2303736
Michael Jackson - Billie Jean,1876175652,1140894
Charlie Puth - Attention,1868493179,993199
Ed Sheeran - I Don't Care,1860955107,614140
Linkin Park - Numb,1860165774,1918957
Danny Ocean - Me Rehúso,1857821706,1339222
Adele - Easy On Me,1855414848,1503316
Calvin Harris - This Is What You Came For,1852484716,586916
Twenty One Pilots - Heathens,1851495827,493777
Gotye - Somebody That I Used To Know,1846980747,908160
5 Seconds of Summer - Youngblood,1844385350,463511
